type_shoes,price,address,image_link-src
Baskets Air Force,18 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611989_uploaded_image1_1647475793.jpg
Chaussures homme,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611738_uploaded_image1_1647461232.jpg
Sandales hommes,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611660_uploaded_image1_1647457659.jpg
Baskets All Star CDG,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611631_uploaded_image1_1647456624.jpg
Baskets Vans,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611627_uploaded_image1_1647456455.jpg
Baskets Nike Jordan One,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611626_uploaded_image1_1647456329.jpg
Baskets Nike Air Jordan,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611624_uploaded_image1_1647456170.jpg
Baskets Nike Air Jordan,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611622_uploaded_image1_1647456026.jpg
Chaussures hommes,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611526_uploaded_image1_1647451475.jpg
Sandales hommes,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611171_uploaded_image2_1647437761.jpeg
Baskets Air Jordan Retro 6,40 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611165_uploaded_image1_1647437543.jpg
Baskets Nike Air,40 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611159_uploaded_image1_1647437412.jpg
Baskets Jordan Retro 04,40 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611153_uploaded_image1_1647437268.jpg
Chaussures homme,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3611134_uploaded_image3_1647436706.jpeg
Tennis Puma,14 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3609781_uploaded_image1_1647355251.jpg
Chaussures homme,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3609691_uploaded_image1_1647352410.jpg
Chaussures de ville homme en cuir,30 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3608467_uploaded_image1_1647284910.jpg
Chaussures de ville homme en cuir,30 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3608456_uploaded_image1_1647284390.jpg
Chaussures homme,4 000CFA,"Le Plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3608233_uploaded_image1_1647275896.jpg
Chaussures Alexender Mcqueen,35 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3608226_uploaded_image1_1647275598.jpg
Chaussures Louis Vuitton,35 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3608216_uploaded_image1_1647275271.jpg
Chaussures All Star,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3607853_uploaded_image1_1647263544.jpg
Chaussures homme,13 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3607345_uploaded_image1_1647241982.jpg
Chaussures homme,18 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3607247_uploaded_image1_1647220639.jpg
Chaussures homme,27 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3570736_uploaded_image1_1645047624.jpg
Chaussures homme,10 000CFA,"Bocanda, Côte d'Ivoire",https://images.coinafrique.com/thumb_3606329_uploaded_image1_1647151989.jpg
Sandales homme,18 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3564894_uploaded_image1_1644664411.jpg
Souliers homme,22 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605893_uploaded_image1_1647105398.jpg
Chaussures homme,19 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605888_uploaded_image1_1647105240.jpg
Chaussures New Balance,17 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605884_uploaded_image1_1647105107.jpg
Chaussures Air force 1,17 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605877_uploaded_image1_1647104970.jpg
Chaussures Air Force 1,13 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605874_uploaded_image1_1647104897.jpg
Baskets Nike,37 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605872_uploaded_image1_1647104829.jpg
Baskets homme,27 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3568812_uploaded_image1_1644938964.jpg
Baskets Nike Air Force 1,25 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605702_uploaded_image1_1647095766.jpg
Baskets Nike Air Force 1,25 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605695_uploaded_image1_1647095623.jpg
Chaussures Air Jordan 4 rétro,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597412_uploaded_image1_1646653594.jpg
Chaussures homme,18 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3605251_uploaded_image1_1647076230.jpg
Chaussures Air Force,22 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604897_uploaded_image1_1647034959.jpg
Chaussures Reebok,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604896_uploaded_image1_1647034887.jpg
Baskets Reebok,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604891_uploaded_image1_1647034811.jpg
Chaussures Nike,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604886_uploaded_image1_1647034545.jpg
Chaussures Air force 1,22 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604881_uploaded_image1_1647034407.jpg
Chaussures hommes,225 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3604718_uploaded_image1_1647027428.jpg
Baskets Jordan,27 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3567604_uploaded_image1_1644862075.jpg
Chaussures homme,25 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3567579_uploaded_image1_1644860495.jpg
Chaussures TN Plus 3,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3561913_uploaded_image1_1644490588.jpg
Chaussures Adidas  Yeezy Boost 350,16 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3561904_uploaded_image1_1644490274.jpg
Chaussures Vans,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3603730_uploaded_image1_1646988817.jpg
Baladeuses homme,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3602744_uploaded_image1_1646925105.jpg
Baskets Air Jordan,13 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3602382_uploaded_image1_1646915301.jpg
Baskets Nike Air Force,17 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601993_uploaded_image1_1646899769.jpg
Sandales homme,7 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601925_uploaded_image1_1646895493.jpg
Chaussures homme,29 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601853_uploaded_image1_1646875286.jpg
Tennis en cuir,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601715_uploaded_image1_1646865184.jpg
Chaussures hommes,30 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601384_uploaded_image1_1646849861.jpg
Chaussures homme,23 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601279_uploaded_image1_1646846215.jpg
Chaussures hommes Sebago,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3601098_uploaded_image1_1646840363.jpg
Mocassins homme,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600685_uploaded_image1_1646829167.jpg
Chaussures homme,18 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600683_uploaded_image1_1646829097.jpg
Souliers homme,100 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600679_uploaded_image1_1646828974.jpg
Chaussures homme,24 900CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600321_uploaded_image1_1646818507.jpg
Mocassins homme,24 900CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600313_uploaded_image1_1646818286.jpg
Mocassins homme,24 900CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600306_uploaded_image1_1646818056.jpg
Chaussures Nike  Air force,13 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600212_uploaded_image1_1646813539.jpg
Souliers homme,45 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600170_uploaded_image1_1646810502.jpg
Chaussures homme,55 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600169_uploaded_image1_1646810403.jpg
Chaussures homme,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3600162_uploaded_image1_1646810087.jpg
Baskets Nike Air force,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3599858_uploaded_image1_1646775014.jpg
Chaussures homme,60 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3632284_uploaded_image1_1648817688.jpg
Chaussures Emporio Armani,45 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3632279_uploaded_image1_1648817568.jpg
Baskets Jordan Rétro One,35 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3632276_uploaded_image1_1648817484.jpg
Sneakers Nike Air Force,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3632273_uploaded_image2_1652382135.jpeg
Chaussures Kito,17 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3631746_uploaded_image1_1648805030.jpg
