type_child_clothes,price,address,image_link-src
Balle de friperie pour enfants,330 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_1391665_uploaded_image1_1577357436.92.png
Complet gilet,6 900CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1385657_uploaded_image1_1577199724.49.png
Complet vêtements,38 000CFA,"Man, Côte d'Ivoire",https://images.coinafrique.com/thumb_1380394_uploaded_image1_1577104305.68.png
Tricot tableau,1 500CFA,"Man, Côte d'Ivoire",https://images.coinafrique.com/thumb_1380385_uploaded_image1_1577104232.3.png
Robe bébés,6 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1377507_uploaded_image1_1577045114.15.png
Robe enfant,12 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1373691_uploaded_image1_1576952501.61.png
Bretelle enfant - Nœud,7 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1371548_uploaded_image1_1576919956.26.png
Tunique pour enfants,11 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1370343_uploaded_image1_1576886056.14.png
Tuniques pour enfants,11 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1370340_uploaded_image1_1576885963.88.png
Ensemble pour enfants,9 900CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1370254_uploaded_image2_1576883961.48.png
Slips enfants,7 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1365968_uploaded_image1_1576801362.79.png
Vêtements de fête,2 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1364970_uploaded_image1_1576780521.53.png
Ensemble enfants,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1359704_uploaded_image1_1576688904.22.png
Balles de friperie,230 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_1349572_uploaded_image1_1576521325.06.png
